specimen,region,n_verts,deform_mag_mean,deform_mag_p95,deform_mag_max,edge_len_mean
Dorylus_afrc-gh01_CASENT0744689_processed.obj,head,2174,0.0027587732765823603,0.007576515129767357,0.028348179534077644,0.010717344470322132
Dorylus_afrc-gh01_CASENT0744689_processed.obj,antenna,362,0.00969622377306223,0.023424807097762818,0.07531081885099411,0.02791118063032627
Dorylus_afrc-gh01_CASENT0744689_processed.obj,mandible,379,0.005924604833126068,0.014098099805414672,0.11601940542459488,0.02177773416042328
Dorylus_afrc-gh01_CASENT0744689_processed.obj,leg,3887,0.004019000567495823,0.010056686867028474,0.12864497303962708,0.017350386828184128
Dorylus_afrc-gh01_CASENT0744689_processed.obj,leg_distal,822,0.007336861453950405,0.02500839428976174,0.19321753084659576,0.02559242770075798
Dorylus_fulvus_CASENT0745670_processed.obj,body,2611,0.003345065051689744,0.008743163663893938,0.07847452908754349,0.018124252557754517
Dorylus_fulvus_CASENT0745670_processed.obj,head,2174,0.0019197786459699273,0.005640948540531099,0.01705654338002205,0.014109525829553604
Dorylus_fulvus_CASENT0745670_processed.obj,antenna,362,0.004522058647125959,0.010725253215059636,0.027999721467494965,0.012004739604890347
Dorylus_fulvus_CASENT0745670_processed.obj,mandible,379,0.002552230143919587,0.007190525531768795,0.044910114258527756,0.01567232795059681
Dorylus_fulvus_CASENT0745670_processed.obj,leg,3887,0.0028161858208477497,0.007355531444773072,0.10678837448358536,0.013925488106906414
Dorylus_fulvus_CASENT0745670_processed.obj,leg_distal,822,0.002577531151473522,0.006377199012786147,0.02563384175300598,0.010868665762245655
Dorylus_fulvus_CASENT0745671_processed.obj,body,2611,0.0042197806760668755,0.012456319760531187,0.08560004085302353,0.020838182419538498
Dorylus_fulvus_CASENT0745671_processed.obj,head,2174,0.004735914058983326,0.011377512710168954,0.051269739866256714,0.01497377548366785
Dorylus_fulvus_CASENT0745671_processed.obj,antenna,362,0.005207438487559557,0.011002836562693116,0.06778310984373093,0.017028678208589554
Dorylus_fulvus_CASENT0745671_processed.obj,mandible,379,0.00386667693965137,0.009980835299938916,0.04309653490781784,0.016948223114013672
Dorylus_fulvus_CASENT0745671_processed.obj,leg,3887,0.003202423918992281,0.008260677661746738,0.1532728374004364,0.015240950509905815
Dorylus_fulvus_CASENT0745671_processed.obj,leg_distal,822,0.0030090922955423594,0.0070228126831352695,0.07385726273059845,0.009627982042729855
Dorylus_fulvus_CASENT0745672_processed.obj,body,2611,0.004368977155536413,0.01281506847590208,0.1152765154838562,0.020431216806173325
Dorylus_fulvus_CASENT0745672_processed.obj,head,2174,0.0016911996062844992,0.005017877207137644,0.014642145484685898,0.010494054295122623
Dorylus_fulvus_CASENT0745672_processed.obj,antenna,362,0.008060627616941929,0.01777936611324548,0.0756586566567421,0.021357635036110878
Dorylus_fulvus_CASENT0745672_processed.obj,mandible,379,0.007378832902759314,0.015895505808293804,0.05590362474322319,0.024793338030576706
Dorylus_fulvus_CASENT0745672_processed.obj,leg,3887,0.005404658615589142,0.01429114630445838,0.22237010300159454,0.01946278288960457
Dorylus_fulvus_CASENT0745672_processed.obj,leg_distal,822,0.005164909642189741,0.012193968240171667,0.08849845826625824,0.017428290098905563
Dorylus_fulvus_CASENT0745674_processed.obj,body,2611,0.0038410797715187073,0.00973488949239254,0.029246045276522636,0.02068902552127838
Dorylus_fulvus_CASENT0745674_processed.obj,head,2174,0.002214123262092471,0.006341248960234222,0.06163450703024864,0.011909904889762402
Dorylus_fulvus_CASENT0745674_processed.obj,antenna,362,0.01193909626454115,0.03794138096272942,0.11855441331863403,0.029177460819482803
Dorylus_fulvus_CASENT0745674_processed.obj,mandible,379,0.007961994968354702,0.020052176155149933,0.09708139300346375,0.028866203501820564
Dorylus_fulvus_CASENT0745674_processed.obj,leg,3887,0.0034805310424417257,0.008093202766031026,0.13170480728149414,0.014566942118108273
Dorylus_fulvus_CASENT0745674_processed.obj,leg_distal,822,0.005078785587102175,0.013961731689050785,0.1110459417104721,0.014001194387674332
Dorylus_fulvus_CASENT0745675_processed.obj,body,2611,0.0034604230895638466,0.008169347885996103,0.16840246319770813,0.019732659682631493
Dorylus_fulvus_CASENT0745675_processed.obj,head,2174,0.0026036782655864954,0.006676627113483846,0.07732836902141571,0.014783459715545177
Dorylus_fulvus_CASENT0745675_processed.obj,antenna,362,0.0038512563332915306,0.008064191369339824,0.05215691775083542,0.010595530271530151
Dorylus_fulvus_CASENT0745675_processed.obj,mandible,379,0.0031395272817462683,0.008927373681217429,0.062220629304647446,0.016084646806120872
Dorylus_fulvus_CASENT0745675_processed.obj,leg,3887,0.0031890233512967825,0.0076912002637982355,0.17449918389320374,0.014226130209863186
Dorylus_fulvus_CASENT0745675_processed.obj,leg_distal,822,0.002977748867124319,0.007969766436144705,0.03860713168978691,0.011637074872851372
Dorylus_fulvus_CASENT0745677_processed.obj,body,2611,0.004807729739695787,0.013061133213341236,0.05281945690512657,0.02117077261209488
Dorylus_fulvus_CASENT0745677_processed.obj,head,2174,0.0028350658249109983,0.00807021888904273,0.021525418385863304,0.012807253748178482
Dorylus_fulvus_CASENT0745677_processed.obj,antenna,362,0.009916435927152634,0.02767282389104364,0.10471734404563904,0.027302958071231842
Dorylus_fulvus_CASENT0745677_processed.obj,mandible,379,0.006389293819665909,0.016017431765794725,0.03746847063302994,0.024754347279667854
Dorylus_fulvus_CASENT0745677_processed.obj,leg,3887,0.0036220380570739508,0.008914423268288367,0.07271375507116318,0.014118662104010582
Dorylus_fulvus_CASENT0745677_processed.obj,leg_distal,822,0.005770056042820215,0.016478694230318065,0.06511562317609787,0.01912948675453663
Dorylus_fulvus_CASENT0745678_processed.obj,body,2611,0.004258971661329269,0.011187480762600899,0.11000830680131912,0.020496828481554985
Dorylus_fulvus_CASENT0745678_processed.obj,head,2174,0.0025772424414753914,0.006230088509619234,0.025454066693782806,0.01610245369374752
Dorylus_fulvus_CASENT0745678_processed.obj,antenna,362,0.003661004826426506,0.008387949829921127,0.014625657349824905,0.00994916446506977
Dorylus_fulvus_CASENT0745678_processed.obj,mandible,379,0.0030204684007912874,0.008179224468767638,0.04978308454155922,0.017389429733157158
Dorylus_fulvus_CASENT0745678_processed.obj,leg,3887,0.0034732322674244642,0.00846332218497991,0.09220296889543533,0.014022260904312134
Dorylus_fulvus_CASENT0745678_processed.obj,leg_distal,822,0.0036939240526407957,0.00822985484264788,0.040821876376867294,0.011833429336547852
Dorylus_helvolus_pretoriae_CASENT0744691_processed.obj,body,2611,0.004041711334139109,0.010590886697173119,0.04659240320324898,0.023040877655148506
Dorylus_helvolus_pretoriae_CASENT0744691_processed.obj,head,2174,0.0028733203653246164,0.009429817274212837,0.08270815759897232,0.011130329221487045
Dorylus_helvolus_pretoriae_CASENT0744691_processed.obj,antenna,362,0.007053980603814125,0.017304404173046347,0.08770783245563507,0.02139694057404995
Dorylus_helvolus_pretoriae_CASENT0744691_processed.obj,mandible,379,0.007041147444397211,0.019337016157805895,0.0716387927532196,0.03182372823357582
Dorylus_helvolus_pretoriae_CASENT0744691_processed.obj,leg,3887,0.005133985076099634,0.015393271576613129,0.16528885066509247,0.018452947959303856
Dorylus_helvolus_pretoriae_CASENT0744691_processed.obj,leg_distal,822,0.008503115735948086,0.03214312139898534,0.15193189680576324,0.023099064826965332
Dorylus_helvolus_pretoriae_CASENT0744694_processed.obj,body,2611,0.004822273273020983,0.012990449089556932,0.08372490108013153,0.019816990941762924
Dorylus_helvolus_pretoriae_CASENT0744694_processed.obj,head,2174,0.001949933241121471,0.004968880023807287,0.013590301387012005,0.0110395522788167
Dorylus_helvolus_pretoriae_CASENT0744694_processed.obj,antenna,362,0.012320537120103836,0.03853844571858643,0.14212043583393097,0.033460333943367004
Dorylus_helvolus_pretoriae_CASENT0744694_processed.obj,mandible,379,0.012352602556347847,0.03428756557404988,0.09941510111093521,0.035817988216876984
