specimen,region,n_verts,deform_mag_mean,deform_mag_p95,deform_mag_max,edge_len_mean
Pristomyrmex_cribrarius_CASENT0744868_processed.obj,head,2174,0.0054335808381438255,0.01570197837427258,0.04819801449775696,0.018853751942515373
Pristomyrmex_cribrarius_CASENT0744868_processed.obj,antenna,362,0.006846671458333731,0.014796691248193383,0.055339962244033813,0.02023523859679699
Pristomyrmex_cribrarius_CASENT0744868_processed.obj,mandible,379,0.004386935383081436,0.0102895924821496,0.0925304964184761,0.020917072892189026
Pristomyrmex_cribrarius_CASENT0744868_processed.obj,leg,3887,0.004422196187078953,0.011921827495098113,0.12145207822322845,0.017874302342534065
Pristomyrmex_cribrarius_CASENT0744868_processed.obj,leg_distal,822,0.005877733696252108,0.0163759642280638,0.1220322698354721,0.020520692691206932
Pristomyrmex_punctatus_CASENT0745047_processed.obj,body,2611,0.006001252681016922,0.0170217826962471,0.08637963980436325,0.026057206094264984
Pristomyrmex_punctatus_CASENT0745047_processed.obj,head,2174,0.0028030395042151213,0.007215336337685581,0.12191759049892426,0.013361923396587372
Pristomyrmex_punctatus_CASENT0745047_processed.obj,antenna,362,0.0146919721737504,0.05175148360431194,0.14053311944007874,0.0335967019200325
Pristomyrmex_punctatus_CASENT0745047_processed.obj,mandible,379,0.011976402252912521,0.029476109705865377,0.13592596352100372,0.03974989801645279
Pristomyrmex_punctatus_CASENT0745047_processed.obj,leg,3887,0.005333285313099623,0.012594819162040947,0.21049675345420837,0.020781243219971657
Pristomyrmex_punctatus_CASENT0745047_processed.obj,leg_distal,822,0.0063186041079461575,0.01947575146332381,0.10164473205804825,0.023896660655736923
Pristomyrmex_punctatus_OKENT0105156_processed.obj,body,2611,0.005392793565988541,0.01610370259732008,0.09797409176826477,0.024489110335707664
Pristomyrmex_punctatus_OKENT0105156_processed.obj,head,2174,0.0033125116024166346,0.009683476574718951,0.030453495681285858,0.01864520274102688
Pristomyrmex_punctatus_OKENT0105156_processed.obj,antenna,362,0.00702141085639596,0.020424310304224473,0.07596389949321747,0.027814874425530434
Pristomyrmex_punctatus_OKENT0105156_processed.obj,mandible,379,0.005121126770973206,0.012531980872154227,0.05412442609667778,0.026442259550094604
Pristomyrmex_punctatus_OKENT0105156_processed.obj,leg,3887,0.003958940971642733,0.010264045745134353,0.09656716883182526,0.017964428290724754
Pristomyrmex_punctatus_OKENT0105156_processed.obj,leg_distal,822,0.005779758095741272,0.01655098041519522,0.09782274812459946,0.021648723632097244
Pristomyrmex_punctatus_OKENT0105157_processed.obj,body,2611,0.005008663050830364,0.014605248812586069,0.16418732702732086,0.022858159616589546
Pristomyrmex_punctatus_OKENT0105157_processed.obj,head,2174,0.0024576440919190645,0.0061112326104193915,0.09940953552722931,0.017402684316039085
Pristomyrmex_punctatus_OKENT0105157_processed.obj,antenna,362,0.0048697348684072495,0.011551525676622982,0.02746497467160225,0.021281452849507332
Pristomyrmex_punctatus_OKENT0105157_processed.obj,mandible,379,0.0046134209260344505,0.011758714914321877,0.10582774132490158,0.02120381034910679
