iteration,specimen,k,n_touched,coverage_fraction
26,Acromyrmex_coronatus_CASENT0744365_processed,5,4128,0.40355849266052246
26,Solenopsis_invicta_CASENT0744384_processed,5,1231,0.1203441172838211
27,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2533,0.2476292848587036
27,Acromyrmex_coronatus_CASENT0744365_processed,2,2697,0.2636621296405792
27,Solenopsis_invicta_CASENT0744384_processed,2,640,0.06256721168756485
27,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3100,0.3030599355697632
27,Acromyrmex_coronatus_CASENT0744365_processed,3,3232,0.31596440076828003
27,Solenopsis_invicta_CASENT0744384_processed,3,849,0.08299931138753891
27,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4212,0.41177046298980713
27,Acromyrmex_coronatus_CASENT0744365_processed,5,4220,0.41255253553390503
27,Solenopsis_invicta_CASENT0744384_processed,5,1279,0.12503665685653687
28,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2545,0.24880242347717285
28,Acromyrmex_coronatus_CASENT0744365_processed,2,2771,0.27089646458625793
28,Solenopsis_invicta_CASENT0744384_processed,2,643,0.06286049634218216
28,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3108,0.3038420081138611
28,Acromyrmex_coronatus_CASENT0744365_processed,3,3330,0.3255450129508972
28,Solenopsis_invicta_CASENT0744384_processed,3,864,0.08446573466062546
28,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4215,0.41206374764442444
28,Acromyrmex_coronatus_CASENT0744365_processed,5,4332,0.42350178956985474
28,Solenopsis_invicta_CASENT0744384_processed,5,1304,0.12748068571090698
29,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2526,0.24694494903087616
29,Acromyrmex_coronatus_CASENT0744365_processed,2,2868,0.2803792953491211
29,Solenopsis_invicta_CASENT0744384_processed,2,638,0.06237168610095978
29,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3076,0.3007136583328247
29,Acromyrmex_coronatus_CASENT0744365_processed,3,3445,0.33678755164146423
29,Solenopsis_invicta_CASENT0744384_processed,3,856,0.08368363976478577
29,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4126,0.4033629894256592
29,Acromyrmex_coronatus_CASENT0744365_processed,5,4521,0.44197869300842285
29,Solenopsis_invicta_CASENT0744384_processed,5,1292,0.12630756199359894
30,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2528,0.24714048206806183
30,Acromyrmex_coronatus_CASENT0744365_processed,2,2916,0.28507184982299805
30,Solenopsis_invicta_CASENT0744384_processed,2,641,0.06266497075557709
30,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3087,0.3017890155315399
30,Acromyrmex_coronatus_CASENT0744365_processed,3,3471,0.3393293619155884
30,Solenopsis_invicta_CASENT0744384_processed,3,860,0.08407469093799591
30,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4124,0.4031674563884735
30,Acromyrmex_coronatus_CASENT0744365_processed,5,4542,0.44403165578842163
30,Solenopsis_invicta_CASENT0744384_processed,5,1296,0.1266985982656479
31,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2549,0.2491934597492218
31,Acromyrmex_coronatus_CASENT0744365_processed,2,2916,0.28507184982299805
31,Solenopsis_invicta_CASENT0744384_processed,2,637,0.06227392703294754
31,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3133,0.3062860369682312
31,Acromyrmex_coronatus_CASENT0744365_processed,3,3464,0.33864501118659973
31,Solenopsis_invicta_CASENT0744384_processed,3,858,0.08387916535139084
31,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4242,0.41470327973365784
31,Acromyrmex_coronatus_CASENT0744365_processed,5,4503,0.440218985080719
31,Solenopsis_invicta_CASENT0744384_processed,5,1296,0.1266985982656479
32,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,2511,0.2454785406589508
32,Acromyrmex_coronatus_CASENT0744365_processed,2,2930,0.28644052147865295
32,Solenopsis_invicta_CASENT0744384_processed,2,640,0.06256721168756485
32,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3098,0.3028644025325775
32,Acromyrmex_coronatus_CASENT0744365_processed,3,3498,0.3419688940048218
32,Solenopsis_invicta_CASENT0744384_processed,3,860,0.08407469093799591
32,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4217,0.4122592508792877
