iteration,specimen,k,n_touched,coverage_fraction
29,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3725,0.3641607165336609
29,Acromyrmex_coronatus_CASENT0744365_processed,3,5273,0.5154951810836792
29,Solenopsis_invicta_CASENT0744384_processed,3,1348,0.1317821890115738
29,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4728,0.46221527457237244
29,Acromyrmex_coronatus_CASENT0744365_processed,5,6675,0.6525564193725586
29,Solenopsis_invicta_CASENT0744384_processed,5,1976,0.1931762546300888
30,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3056,0.2987584173679352
30,Acromyrmex_coronatus_CASENT0744365_processed,2,4400,0.43014955520629883
30,Solenopsis_invicta_CASENT0744384_processed,2,993,0.09707693755626678
30,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3757,0.36728906631469727
30,Acromyrmex_coronatus_CASENT0744365_processed,3,5290,0.5171570777893066
30,Solenopsis_invicta_CASENT0744384_processed,3,1329,0.1299247145652771
30,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4781,0.46739661693573
30,Acromyrmex_coronatus_CASENT0744365_processed,5,6691,0.6541206240653992
30,Solenopsis_invicta_CASENT0744384_processed,5,1957,0.1913187950849533
31,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3075,0.3006158769130707
31,Acromyrmex_coronatus_CASENT0744365_processed,2,4409,0.43102940917015076
31,Solenopsis_invicta_CASENT0744384_processed,2,973,0.09512171149253845
31,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3776,0.36914652585983276
31,Acromyrmex_coronatus_CASENT0744365_processed,3,5310,0.5191123485565186
31,Solenopsis_invicta_CASENT0744384_processed,3,1300,0.12708964943885803
31,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4791,0.46837422251701355
31,Acromyrmex_coronatus_CASENT0744365_processed,5,6681,0.6531429886817932
31,Solenopsis_invicta_CASENT0744384_processed,5,1889,0.18467102944850922
32,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3063,0.29944276809692383
32,Acromyrmex_coronatus_CASENT0744365_processed,2,4367,0.4269234538078308
32,Solenopsis_invicta_CASENT0744384_processed,2,1014,0.09912992268800735
32,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3767,0.36826667189598083
32,Acromyrmex_coronatus_CASENT0744365_processed,3,5283,0.5164727568626404
32,Solenopsis_invicta_CASENT0744384_processed,3,1360,0.13295532763004303
32,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4783,0.46759212017059326
32,Acromyrmex_coronatus_CASENT0744365_processed,5,6693,0.6543161273002625
32,Solenopsis_invicta_CASENT0744384_processed,5,1978,0.19337178766727448
33,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3051,0.2982696294784546
33,Acromyrmex_coronatus_CASENT0744365_processed,2,4318,0.4221331477165222
33,Solenopsis_invicta_CASENT0744384_processed,2,1020,0.09971649199724197
33,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3750,0.366604745388031
33,Acromyrmex_coronatus_CASENT0744365_processed,3,5252,0.5134421586990356
33,Solenopsis_invicta_CASENT0744384_processed,3,1366,0.13354188203811646
33,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4763,0.4656369090080261
33,Acromyrmex_coronatus_CASENT0744365_processed,5,6651,0.6502102017402649
33,Solenopsis_invicta_CASENT0744384_processed,5,1990,0.19454491138458252
34,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3056,0.2987584173679352
34,Acromyrmex_coronatus_CASENT0744365_processed,2,4313,0.42164433002471924
34,Solenopsis_invicta_CASENT0744384_processed,2,1016,0.09932544827461243
34,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3749,0.36650699377059937
34,Acromyrmex_coronatus_CASENT0744365_processed,3,5262,0.5144197940826416
34,Solenopsis_invicta_CASENT0744384_processed,3,1357,0.13266204297542572
34,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4760,0.4653436243534088
34,Acromyrmex_coronatus_CASENT0744365_processed,5,6690,0.6540228724479675
34,Solenopsis_invicta_CASENT0744384_processed,5,1977,0.19327402114868164
35,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3022,0.29543453454971313
35,Acromyrmex_coronatus_CASENT0744365_processed,2,4306,0.420960009098053
35,Solenopsis_invicta_CASENT0744384_processed,2,1008,0.09854335337877274
35,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3712,0.36288982629776
35,Acromyrmex_coronatus_CASENT0744365_processed,3,5253,0.5135399103164673
35,Solenopsis_invicta_CASENT0744384_processed,3,1348,0.1317821890115738
35,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4716,0.4610421359539032
35,Acromyrmex_coronatus_CASENT0744365_processed,5,6738,0.6587154269218445
35,Solenopsis_invicta_CASENT0744384_processed,5,1964,0.19200313091278076
36,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3069,0.30002933740615845
36,Acromyrmex_coronatus_CASENT0744365_processed,2,4319,0.42223089933395386
36,Solenopsis_invicta_CASENT0744384_processed,2,1012,0.09893439710140228
36,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3743,0.36592042446136475
36,Acromyrmex_coronatus_CASENT0744365_processed,3,5262,0.5144197940826416
36,Solenopsis_invicta_CASENT0744384_processed,3,1354,0.1323687583208084
36,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4743,0.4636816680431366
36,Acromyrmex_coronatus_CASENT0744365_processed,5,6739,0.6588131785392761
36,Solenopsis_invicta_CASENT0744384_processed,5,1969,0.19249193370342255
37,Acanthostichus_aff.brevicornis_CASENT0744328_processed,2,3033,0.29650992155075073
37,Acromyrmex_coronatus_CASENT0744365_processed,2,4321,0.4224264323711395
37,Solenopsis_invicta_CASENT0744384_processed,2,1014,0.09912992268800735
37,Acanthostichus_aff.brevicornis_CASENT0744328_processed,3,3728,0.3644540011882782
37,Acromyrmex_coronatus_CASENT0744365_processed,3,5277,0.5158861875534058
37,Solenopsis_invicta_CASENT0744384_processed,3,1354,0.1323687583208084
37,Acanthostichus_aff.brevicornis_CASENT0744328_processed,5,4740,0.4633883833885193
37,Acromyrmex_coronatus_CASENT0744365_processed,5,6750,0.6598885655403137
37,Solenopsis_invicta_CASENT0744384_processed,5,1969,0.19249193370342255
