arm,metric,control,arm_val,rel,wins,n,p
A5_robust,fscore@0.02,0.9228403961658478,0.9277268242835999,0.5294987235115168,25,50,1.0
A5_robust,hausdorff_95,0.03177629409357901,0.027138970531523185,-14.59365761234865,28,50,0.47988766169832786
A5_robust,normal_consistency,0.7847785115242004,0.8153435635566711,3.894736104976702,46,50,4.461782054931973e-10
A5_robust,edge_logratio_absmean,0.585228705406189,0.5573666620254517,-4.760881194532571,38,50,0.00030586400160359517
A5_robust,tri_quality_mean,0.6461913955211639,0.667941484451294,3.3658895925958014,43,50,2.098677427397888e-07
A5_robust,deform_mag_mean,0.05210933651775118,0.0446020774170756,-14.406744745203474,47,50,3.708322537931963e-11
A5_robust,deform_mag_p95,0.11934373617172238,0.10331461451947685,-13.431054001063861,45,50,4.209852022540872e-09
A5_robust,midline_dev_mean,0.0369353748299181,0.033728408776223615,-8.682641149237716,30,50,0.20263875106454066
A5_robust,part_leg_distal_dist_mean,0.009220938170328688,0.030442063445225313,230.14063081868352,5,50,4.209852022540872e-09
E1_posebudget,chamfer_l2,0.0024823476630262483,0.007816101550124533,214.86731952957766,1,50,9.059419880941277e-14
E1_posebudget,fscore@0.01,0.2726381371170282,0.15271902978420254,-43.98471490469116,2,50,2.2666313270747196e-12
E1_posebudget,fscore@0.02,0.5616250535845757,0.31751380369067195,-43.465163873197504,2,50,2.2666313270747196e-12
E1_posebudget,hausdorff_95,0.07721978776156899,0.13681449629366393,77.17543683923785,1,50,9.059419880941277e-14
E1_posebudget,normal_consistency,0.6894034993648529,0.6348348188400269,-7.915347191451877,11,50,9.021490107130603e-05
E1_posebudget,edge_logratio_absmean,0.0,0.0,0.0,0,50,1.7763568394002505e-15
E1_posebudget,tri_quality_mean,0.7295354247093201,0.8451598596572876,15.849050098407352,50,50,1.7763568394002505e-15
E1_posebudget,deform_mag_mean,0.0,0.0,0.0,0,50,1.7763568394002505e-15
E1_posebudget,deform_mag_p95,0.0,0.0,0.0,0,50,1.7763568394002505e-15
E1_posebudget,midline_dev_mean,0.031235918123274996,0.033770403033122384,8.114008046005582,27,50,0.6718110337653656
E1_posebudget,part_leg_distal_dist_mean,0.04610030675306911,0.02879965463653202,-37.52827981998195,41,50,5.614100093254137e-06
E1_posebudget,chamfer_l2,0.00040320283180330394,0.006121799689717544,1418.2928274970643,0,50,1.7763568394002505e-15
E1_posebudget,fscore@0.01,0.6615910685062408,0.19239606440067292,-70.91918655495465,0,50,1.7763568394002505e-15
E1_posebudget,fscore@0.02,0.9228403961658478,0.3764042881131172,-59.21241748003584,0,50,1.7763568394002505e-15
E1_posebudget,hausdorff_95,0.03177629409357901,0.12273363225162026,286.24275029465576,0,50,1.7763568394002505e-15
E1_posebudget,normal_consistency,0.7847785115242004,0.6772796535491943,-13.697986934693763,4,50,4.461782054931973e-10
E1_posebudget,edge_logratio_absmean,0.585228705406189,0.040478979609906623,-93.08322041675275,50,50,1.7763568394002505e-15
E1_posebudget,tri_quality_mean,0.6461913955211639,0.8444602990150452,30.682690123669527,50,50,1.7763568394002505e-15
E1_posebudget,deform_mag_mean,0.05210933651775118,0.018283545542508318,-64.91311007782816,50,50,1.7763568394002505e-15
E1_posebudget,deform_mag_p95,0.11934373617172238,0.04296488214284178,-63.99904718781379,50,50,1.7763568394002505e-15
E1_posebudget,midline_dev_mean,0.0369353748299181,0.03491409235633905,-5.472483988133409,31,50,0.11892045255943628
E1_posebudget,part_leg_distal_dist_mean,0.009220938170328688,0.02780309464782472,201.5213217162093,0,50,1.7763568394002505e-15
E3_robust,chamfer_l2,0.0024823476630262483,0.03768310490529979,1418.0429982631686,0,50,1.7763568394002505e-15
